segment_id,segment confidence,segment utterance count,best_sum_method,best_sum_score,no_summary,direct_summary,recursive_summary,aspect_summary,memory_summary
13452_0,0.8,5,aspect_summary,0.5918367346938775,0.5364238410596027,0.5302013422818792,0.527027027027027,0.5918367346938775,0.4701986754966887
13452_1,0.6499999999999999,8,direct_summary,1.0,0.9080459770114943,1.0,0.632183908045977,0.8596491228070176,1.0
13452_2,0.75,18,prior_summary,0.780413419179939,0.4301369863013699,0.43566296538210325,0.780413419179939,0.5603799185888738,0.6642238507661559
13452_3,0.8,6,no_summary,0.7391304347826086,0.7391304347826086,0.48571428571428577,0.6842105263157894,0.6307692307692307,0.6842105263157894
13452_4,0.7,11,memory_summary,0.9543094496365524,0.7782258064516129,0.8666666666666667,0.6977428851815506,0.9053763440860215,0.9543094496365524
13452_5,0.6499999999999999,16,aspect_summary,0.5563258232235702,0.5470629865534324,0.37508417508417513,0.42052313883299797,0.5563258232235702,0.39748953974895396
13452_6,0.8,7,aspect_summary,0.7495527728085868,0.18632478632478633,0.5087719298245614,0.6591304347826087,0.7495527728085868,0.4652777777777778
13452_7,0.8500000000000001,10,direct_summary,0.7627118644067796,0.4773519163763066,0.7627118644067796,0.5379537953795379,0.6258503401360545,0.6598639455782314
13452_8,0.75,9,prior_summary,0.5967413441955194,0.5,0.42629482071713143,0.5967413441955194,0.4878048780487805,0.5959183673469388
13452_9,0.85,24,direct_summary,0.6439283986453798,0.5224623037463081,0.6439283986453798,0.5248950209958008,0.5438707633829586,0.5923887403679824
13452_10,1.0,11,direct_summary,0.9201451905626135,0.8051372896368467,0.9201451905626135,0.6507936507936507,0.691073219658977,0.6472945891783567
20148_0,1.0,8,prior_summary,0.9058823529411765,0.7209302325581395,0.8100890207715133,0.9058823529411765,0.9058823529411765,0.8100890207715133
20148_1,1.0,8,prior_summary,0.9047619047619048,0.6156156156156156,0.7586726998491704,0.9047619047619048,0.8547655068078669,0.7090909090909091
20148_2,0.8,8,prior_summary,0.8288770053475936,0.5404699738903394,0.5977653631284916,0.8288770053475936,0.7802197802197802,0.6022099447513812
20148_3,0.6,7,prior_summary,0.7,0.44901610017889093,0.5571177504393674,0.7,0.641025641025641,0.6939890710382514
20148_4,0.6,6,direct_summary,0.7228637413394918,0.5439429928741093,0.7228637413394918,0.486935866983373,0.6651162790697673,0.6619718309859155
20148_5,0.8,7,prior_summary,0.8968692449355432,0.727626459143969,0.7886792452830189,0.8968692449355432,0.7416974169741697,0.7944954128440367
20148_6,0.8,10,memory_summary,0.4495412844036697,0.2739844425237684,0.44802207911683534,0.3513513513513513,0.38618925831202044,0.4495412844036697
20148_7,0.7,10,direct_summary,0.8557258791704238,0.6797153024911031,0.8557258791704238,0.8256320836965998,0.7370892018779343,0.8148148148148149
20148_8,0.7,8,memory_summary,1.0,0.33884297520661155,0.7619047619047619,0.7253218884120172,0.8103703703703704,1.0
20148_9,0.75,22,prior_summary,0.8098605382046749,0.7394908229721728,0.49806807727690894,0.8098605382046749,0.7364743461768817,0.7575280456603031
20148_10,0.9,10,aspect_summary,0.7698504027617952,0.42470389170896783,0.7058823529411764,0.6856581532416504,0.7698504027617952,0.6825396825396826
20148_11,0.95,11,aspect_summary,0.47707979626485575,0.4558944765045342,0.43201376936316693,0.39362618432385865,0.47707979626485575,0.38137082601054473
20148_12,0.9,10,prior_summary,0.7345971563981042,0.6491228070175439,0.6688132474701012,0.7345971563981042,0.6989651928504232,0.7014925373134329
20148_13,0.9,5,prior_summary,0.6581196581196582,0.5535714285714286,0.6581196581196582,0.6581196581196582,0.4339622641509434,0.4339622641509434
